Seeding Density,ctrl,35k,35k,35k,35k,35k,35k,35k,30k,30k,30k,30k,30k,30k,30k,30k,25k,25k,25k,25k,25k,25k,25k,25k,20k,20k,20k,20k,20k,20k,20k,20k
2022-02-18 19:45:00+00:00,0.00167066,11.74798563,17.6050088,3.416130517,7.17482422,12.78857484,20.48703033,13.9267423,7.085321661,10.05631191,18.58302684,6.743656507,25.66000682,23.65950043,19.91170797,26.27669638,21.60266842,26.85546673,25.31760374,26.53046936,44.2428661,41.50068652,16.6077603,37.8604593,5.979796156,14.85091741,16.74159009,13.93806274,26.74226929,34.12221589,20.42209136,8.042633914
2022-02-18 20:00:00+00:00,0.033359062,12.47854295,20.3914674,4.682461219,8.422439756,14.68643391,22.53740943,16.54855634,7.647480656,12.83755909,21.70289849,8.083327057,26.86207375,26.86061961,24.5730454,30.52119993,24.47256415,29.34141426,28.30775335,29.44219987,48.02245026,45.02082342,17.31551069,40.40315415,6.48488335,16.10747628,18.03351887,15.57441126,30.5929399,37.29125605,22.73539697,8.616284138
2022-02-18 20:15:00+00:00,-0.057677982,12.2999134,20.57753025,5.057938045,7.839245514,14.91885118,22.84248912,17.65184544,7.173081898,17.53159179,21.52962243,7.043803192,27.77241472,26.70992343,28.56643237,30.76102992,24.2405406,29.80056166,28.67230866,29.55846581,49.24119003,45.41370165,16.05718123,41.57400718,5.760822749,16.63261185,18.60594048,16.07749622,30.24769127,38.86245239,22.17526951,7.809600837
2022-02-18 20:30:00+00:00,-0.04775733,12.95299953,23.74624133,6.3683754,8.81790631,16.9338911,25.55611272,20.36936013,7.77961351,16.61305306,24.25745273,8.258755889,31.18824176,29.62831773,31.8967561,33.36061522,24.9072966,32.3233932,31.11083303,32.43554735,53.1788815,49.39910455,16.57462787,43.83377552,6.296037716,18.02670027,19.70825058,17.45262891,33.07846424,41.81980214,23.86611717,8.205137935
2022-02-18 20:45:00+00:00,-0.082175168,12.5999435,23.46736995,6.606939089,8.099879108,17.42007795,27.18667046,20.20492426,7.104768759,15.73205813,24.19097046,7.25411083,31.39508361,29.86405469,33.36335596,35.34299093,24.72970814,32.92957666,30.98997398,32.97598022,54.95259903,49.01017684,15.44258661,44.83618552,5.844012004,16.76338886,19.89307498,17.44501285,31.74652428,42.84643489,23.45916116,7.457416882
2022-02-18 21:00:00+00:00,-0.068955388,13.16955669,25.9418285,7.774542383,8.761260585,19.1236059,30.2671237,22.6428857,7.809866314,17.15104944,26.68588964,8.153400495,33.76850567,31.96861505,37.4413671,38.44565757,26.93387427,34.71220609,32.70324289,35.19736671,58.42821632,52.71221349,15.78854458,46.58239002,6.256088116,16.50110392,20.7262091,18.23391603,34.21278804,45.50789375,24.94965381,7.831860548
2022-02-18 21:15:00+00:00,-0.060845075,12.84889477,26.07286813,7.916492851,8.07980352,20.27639817,29.88308833,21.84042565,7.831490349,16.31113333,27.54482941,7.337218522,33.58603795,32.17436687,39.28522435,39.04885705,28.3400501,35.26361338,33.15477718,36.47211866,59.77606014,52.79712109,15.28610348,47.33502826,5.886178597,16.1751654,20.68517449,18.0593447,32.96633736,46.92404134,25.01675443,6.65864522
2022-02-18 21:30:00+00:00,-0.008042168,13.55054148,28.09639276,9.369079122,8.997012208,22.62508848,32.25953991,23.99318457,8.773194245,17.28533828,29.94118945,8.565633846,35.482828,34.18478115,42.67005833,41.22161901,29.70089973,36.94667284,35.2987143,38.48251284,61.71826068,56.11966728,15.92357066,49.08010344,6.350790877,17.23376686,21.35635451,18.80163831,34.55750686,49.66741854,26.58006168,6.725842125
2022-02-18 21:45:00+00:00,-0.097833263,13.24917132,28.22632635,9.855524167,10.20226304,22.90737371,37.23626401,25.12567611,8.638995492,16.80808064,31.28142001,7.796954342,35.77657255,34.55292677,44.37054356,43.26757475,28.17736167,37.5722511,36.63473123,39.14237868,62.48749625,56.52848984,15.90350678,49.97035074,6.140593495,16.20495533,21.43327212,18.80984605,34.462836,50.98063927,26.78218591,6.688417272
2022-02-18 22:00:00+00:00,-0.115953823,13.77192839,30.1455798,11.24034536,12.06763157,24.66129278,41.05313684,27.34355232,9.908246616,17.98963807,33.103708,8.419030795,37.70958115,36.21950367,46.5356953,44.88188215,29.44375121,39.19845658,39.13241789,41.01573417,65.27157996,59.32413272,16.52173209,51.66400997,6.62189564,16.22093531,22.28757453,19.61276944,35.76668303,53.38881121,28.07355378,7.181975998
