,CHIR,control,seed,cTnT,expID,wellNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
0,0.0,1,,0.0,8,H10,0.21363501585551203,-0.13516182701329615,19.0,48.0,0.7185122568508034,-0.0005104376606147573,0.36347517730496454,120.0,0.009166666666666667,87.0,3.1829910582264236,26.0,0.8928571428571429,-0.6212389380530974,-0.8442477876106195,0.9852849259638331,56.0,1.2926155913503674,0.5,0.34782608695652173,0.061359231515429685,0.13560444133712374
1,5.0,0,,0.461402149,8,G10,-1.20822451593595,-1.3832627647089708,36.0,95.0,1.2707925839865688,-3.17831318511102e-05,0.14893617021276595,106.0,0.04683195592286501,0.0,6.514746521794295,40.0,0.8979591836734694,0.16460176991150433,-0.18849557522123894,0.9962947920249743,110.0,1.2000517227603051,0.8260869565217391,0.717391304347826,0.030679615757714843,0.0672938580942125
2,5.0,0,,0.195135581,8,F10,-0.5035810185041953,-0.29724234694038565,50.0,119.0,1.0410616645056474,-2.3217307042986303e-05,0.12056737588652482,154.0,0.03401360544217687,186.0,10.321657460551341,40.0,0.5866666666666667,-0.5699115044247788,-0.21592920353982303,0.9976804887456064,87.0,1.2130347123890126,0.8478260869565217,0.32608695652173914,0.024543692606171875,0.05351647471633721
3,5.0,0,,0.126083119,8,E10,-0.1111189249717709,0.11930663486287418,34.0,83.0,1.0833964064421537,-6.6488620547542225e-06,0.29432624113475175,105.0,0.02777777777777778,174.0,8.542951566783826,40.0,0.8444444444444444,0.09026548672566381,-0.20884955752212386,0.9982104063919596,82.0,1.221713828945531,0.5652173913043478,0.6956521739130435,0.03681553890925782,0.07417854686654317
4,5.0,0,,0.016700834,8,D10,0.2672357291899151,0.06495794837278612,34.0,87.0,1.1990182810333716,-2.15677811290029e-05,0.30851063829787234,103.0,0.020833333333333332,179.0,8.877675187201966,40.0,0.8913043478260869,0.16106194690265485,-0.12035398230088501,0.9977881620539343,81.0,1.214706889565412,0.7608695652173914,0.6521739130434783,0.03681553890925782,0.07229197031765763
5,5.0,0,,0.157329249,8,C10,-0.14078115995168639,0.08828189495012184,34.0,84.0,1.0887605931922353,-8.897904500110423e-06,0.29432624113475175,107.0,0.018518518518518517,178.0,8.238582445969065,40.0,0.8666666666666667,0.06725663716814156,-0.21415929203539819,0.9981219266659668,85.0,1.2287498354365975,0.5652173913043478,0.6956521739130435,0.03681553890925782,0.07397444756022029
6,5.0,0,,0.220667584,8,B10,0.08444663922500184,-0.13207792855780887,35.0,89.0,1.209451877788127,-1.4419337043879346e-05,0.299645390070922,105.0,0.013888888888888888,185.0,9.332347968848682,40.0,0.851063829787234,0.09203539823008855,-0.16991150442477876,0.9981747656968987,81.0,1.2217138289455312,0.5652173913043478,0.6956521739130435,0.030679615757714843,0.07149924729513388
7,5.0,0,,0.425127631,8,A10,-0.3815314920681203,-0.16685328570547187,30.0,73.0,1.1841796814502406,-5.605242533205394e-05,0.2907801418439716,118.0,0.00591715976331361,0.0,5.660164692479253,40.0,0.7804878048780488,0.06548672566371683,-0.2442477876106195,0.997750316213829,92.0,1.2070877292513718,0.7391304347826086,0.5869565217391305,0.03681553890925782,0.08512435983701833
8,12.0,0,,0.00165005,8,H9,-0.20781089197733493,-0.029691909241945424,48.0,126.0,1.336390534646932,-1.0769452765922476e-05,0.13120567375886524,127.0,0.005208333333333334,0.0,10.214092461169828,40.0,0.6764705882352942,-0.6867256637168142,-0.23362831858407085,0.9980622382497714,155.0,1.1685605044339444,0.4782608695652174,0.8260869565217391,0.024543692606171875,0.05452963641597507
9,12.0,0,,0.000913176,8,G9,0.029489722936053342,-0.24521144254624905,25.0,61.0,0.9481879891276659,-0.00012757029300656503,0.32092198581560283,90.0,0.028645833333333332,170.0,5.22145696531812,32.0,0.8235294117647058,-0.4035398230088496,-0.20353982300884954,0.9982291241806373,71.0,1.2357469789124864,0.7608695652173914,0.6086956521739131,0.042951462060800784,0.10022138059965134
