Seeding Density,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,35,35,35,35,35,35,30,30,30,30,30,30,30,30,30,30,30,30,30
Dose,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,9,9,9,11,11,11,9,9,9,9,9,9,11,11,11,11,11,11,11
Beating,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O
well,H9-CTRL,H10-CTRL,A4-CTRL,A3-CTRL,A9-CTRL,A10-CTRL,G10,F10,E10,D10,C10,B10,G9,F9,E9,D3,C3,B3,H3,G3,F3,E3,D9,C9,B9
measurement,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c
2021-12-03 20:30:00+00:00,182.1207826,183.6696522,192.6744545,134.7177273,184.4597273,183.844913,154.4271739,152.3310435,153.9399565,148.2236087,152.7719565,157.1796087,151.9026087,151.5656957,149.5647826,160.5988182,164.3394091,167.1588636,170.7945455,157.0209545,158.0568182,158.6986364,152.3993913,155.869,158.991
2021-12-03 20:45:00+00:00,197.3483913,194.7890435,195.4853182,156.1016818,183.8799545,184.6316957,200.2348696,201.1957826,201.3936522,199.5448261,203.4783478,202.7661739,193.8712174,204.0269091,200.7379091,200.5597727,204.7060455,200.7482727,197.0541818,196.2404545,192.5867727,194.8033182,196.4945,204.1720909,200.4741818
2021-12-03 21:00:00+00:00,203.5612143,202.0063929,197.9511429,142.7463571,186.9206552,187.7739643,197.5487857,196.5376429,199.3352857,197.4028929,201.4920357,200.7936786,192.2745,201.2168966,197.5855862,199.5475714,203.4473929,200.2263571,202.0521429,194.83875,190.4560357,194.1425714,195.2181034,200.3289655,198.6925517
2021-12-03 21:15:00+00:00,197.7305,198.332069,199.0813448,135.357931,188.64375,189.3616429,188.3477241,187.8646786,191.4893571,189.2816071,192.7015357,191.1493214,183.7608929,190.64175,187.3286071,189.5224483,194.2413103,192.3874138,193.2981724,186.3082759,179.9931034,185.4218966,186.0470714,189.2987857,187.3905714
