Dose,null,null,null,null,null,null,null,null,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14
Media Volume,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,100,100,150,150,150,150,150,150,150,150,150,150,100,100
Beating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Beating Day Occurrence,never,never,never,never,never,never,never,never,never,never,never,never,never,13,12,11,11,never,never,never,never,never,never,never,never,never,never,never,15,never,never
device,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA
plate,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4
well,H9-CTRL,H4-CTRL,H3-CTRL,H10-CTRL,A9-CTRL,A4-CTRL,A3-CTRL,A10-CTRL,F10,E4,E10,D4,C4,B4,D10,G4,B10,F4,C10,G9,G3,F9,E9,E3,D3,C3,B9,B3,D9,F3,C9
measurement,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c,O2c
2021-04-08 15:15:00+00:00,170.953,171.0465,173.349,169.866,169.0105,169.444,173.68,171.431,57.492,15.8255,60.148,18.3105,46.725,82.564,69.181,72.6925,93.0085,2.972,77.229,62.004,87.489,38.2325,39.5795,52.1595,63.6755,69.503,86.6135,100.759,48.508,37.77,48.292
2021-04-08 15:30:00+00:00,170.9991429,171.1548214,173.5280714,169.6825714,169.0481071,169.3784643,173.6723448,171.3505357,57.48817857,16.14314286,60.43082143,17.69035714,46.19157143,81.4305,68.69717857,72.13375,92.99478571,2.557535714,76.73507143,63.56289286,86.98560714,39.08532143,39.49903571,50.31410714,62.52178571,69.23314286,85.35771429,100.9317931,48.52992857,36.40507143,47.74260714
2021-04-08 15:45:00+00:00,170.9552857,171.0215357,173.3068571,170.0647931,169.1776071,169.2478571,173.6719286,171.3444643,55.33989655,14.03728571,57.71967857,14.63660714,44.28471429,80.40410714,65.86414286,69.50521429,90.71807143,1.701535714,73.94332143,60.12153571,86.02757143,35.17707143,35.43614286,45.91942857,59.84139286,67.72957143,83.30464286,100.0123214,45.99296429,34.15182143,44.24053571
2021-04-08 16:00:00+00:00,170.99675,171.1274286,173.4868214,169.7156071,169.0637857,169.3853571,173.6950714,171.36975,54.16907143,12.60278571,55.4877931,13.84171429,42.00603571,78.53714286,65.05875862,68.95882143,89.681,1.621392857,72.40075862,60.99110714,84.96028571,32.91453571,34.55082143,42.61160714,57.89085714,66.80589286,82.81796429,98.38292857,44.85757143,32.40132143,45.52046429
2021-04-08 16:15:00+00:00,170.8953571,170.9605357,173.2679643,170.0706786,169.0985714,169.0797143,173.6244643,171.3512069,51.75878571,10.58789286,52.386,12.43739286,38.58317857,74.13453571,61.58003571,66.44442857,87.72503448,1.145357143,70.38889286,56.08121429,81.52446429,29.32996429,32.56242857,40.35060714,55.45946429,64.11996429,79.9535,96.28957143,41.82671429,28.88278571,44.55446429
2021-04-08 16:30:00+00:00,170.932931,171.0396071,173.4495714,169.6588214,168.9888214,169.2055714,173.6118214,171.28825,49.80425,10.67164286,53.418,11.82289286,36.73585714,73.97982143,59.83017857,65.11253571,87.40210714,1.148464286,68.31571429,54.68048276,79.54957143,28.54834483,32.42032143,36.95475,53.06225,63.21707143,79.89267857,95.02542857,41.01889286,27.43010714,44.65489286
2021-04-08 16:45:00+00:00,170.9015357,170.9223929,173.1894643,169.9766071,169.1038214,169.082,173.5521786,171.2333929,46.30778571,9.644821429,51.2875,9.832785714,36.80175,71.04560714,58.29946429,63.33678571,85.57185714,0.786321429,66.91078571,51.78835714,77.77717857,25.94496429,28.98424138,32.636,50.96921429,63.32085714,78.70232143,93.84339286,38.4882069,24.66767857,42.70913793
2021-04-08 17:00:00+00:00,170.8796071,171.057931,173.4254286,169.6069643,168.9382759,169.2242857,173.5289286,171.2773571,44.75357143,8.777357143,49.58667857,9.335714286,35.37485714,69.25303571,57.21117857,62.59864286,82.81610714,0.670642857,66.80082143,53.03014286,75.41617857,25.20121429,27.38075,31.22989286,49.64135714,60.80403571,77.55351724,92.92703571,37.62514286,22.25192857,41.76632143
