device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
3.92611,38.8,37.7
3.94278,38.8,37.7
3.95944,38.8,37.7
3.97611,38.8,37.7
3.99278,38.8,37.7
4.00944,38.8,37.7
4.02611,38.8,37.7
4.04278,38.8,37.7
4.05944,38.8,37.7
4.07611,38.8,37.7
4.09278,38.8,37.7
4.10944,38.8,37.7
4.12611,38.8,37.7
4.14278,38.8,37.7
4.15944,38.8,37.7
4.17611,38.8,37.7
4.19278,38.8,37.7
4.20944,38.8,37.7
4.22611,38.8,37.7
4.24278,38.8,37.7
4.25944,38.8,37.7
4.27611,38.8,37.7
4.29278,38.8,37.7
4.30944,38.8,37.7
4.32611,38.8,37.7
4.34278,38.8,37.7
4.35944,38.8,37.7
4.37611,38.8,37.7
4.39278,38.8,37.7
4.40944,38.8,37.7
4.42611,38.8,37.7
4.44278,38.8,37.7
4.45944,38.8,37.7
4.47611,38.8,37.7
4.49278,38.8,37.7
4.50944,38.8,37.7
4.52611,38.8,37.7
4.54278,38.8,37.7
4.55944,38.8,37.7
4.57611,38.8,37.65714285714286
4.59278,38.8,37.7
4.60944,38.8,37.7
4.62611,38.8,37.7
4.64278,38.8,37.7
4.65944,38.8,37.7
4.67611,38.8,37.7
4.69278,38.8,37.7
4.70944,38.8,37.7
4.72611,38.8,
4.74278,38.8,37.7
4.75944,38.8,37.7
4.77611,38.8,37.7
4.79278,38.8,37.7
4.80944,38.8,37.7
4.82611,38.8,37.7
4.84278,38.8,37.7
4.85944,38.8,37.7
4.87611,38.8,37.7
4.89278,38.8,37.650000000000006
4.90944,38.8,37.7
4.92611,38.8,37.7
4.94278,38.8,37.7
4.95944,38.8,37.7
4.97611,38.8,37.7
4.99278,38.8,37.7
5.00944,38.8,37.7
5.02611,38.8,
5.04278,38.8,37.7
5.05944,38.8,37.7
5.07611,38.8,37.7
5.09278,38.8,37.7
5.10944,38.8,37.7
5.12611,38.8,37.7
5.14278,38.8,37.7
5.15944,38.8,37.7
5.17611,38.8,37.7
5.19278,38.8,37.7
5.20944,38.8,37.7
5.22611,38.8,37.7
5.24278,38.8,37.7
5.25944,38.8,37.7
5.27611,38.8,37.7
5.29278,38.8,37.7
5.30944,38.8,37.7
5.32611,38.8,37.7
5.34278,38.9,37.7
5.35944,38.8,37.7
5.37611,38.8,37.7
5.39278,38.8,37.7
5.40944,38.9,37.7
5.42611,38.8,37.7
5.44278,38.8,37.7
5.45944,38.9,37.7
5.47611,38.9,37.7
5.49278,38.9,37.7
5.50944,38.9,37.7
5.52611,38.9,37.7
5.54278,38.9,37.7
5.55944,38.8,37.7
5.57611,38.8,37.7
5.59278,38.9,37.7
5.60944,38.9,37.7
5.62611,38.9,37.7
5.64278,38.8,37.7
5.65944,38.8,37.7
5.67611,38.8,37.7
5.69278,38.8,37.7
5.70944,38.8,37.7
5.72611,38.8,37.7
5.74278,38.9,37.7
5.75944,38.8,37.7
5.77611,38.8,37.7
5.79278,38.8,37.7
5.80944,38.8,37.684615384615384
5.82611,38.8,37.666666666666664
5.84278,38.8,37.7
5.85944,38.9,37.7
5.87611,38.9,37.7
5.89278,38.9,37.7
5.90944,38.9,37.7
5.92611,38.9,37.7
5.94278,38.9,37.7
5.95944,38.9,37.7
5.97611,38.9,37.7
5.99278,38.9,37.7
6.00944,38.9,37.7
6.02611,38.9,37.7
6.04278,38.9,37.7
6.05944,38.9,37.7
6.07611,38.9,37.7
6.09278,38.9,37.7
6.10944,38.9,37.7
6.12611,38.9,37.7
6.14278,38.9,37.7
6.15944,38.9,37.7
6.17611,38.9,37.7
6.19278,38.9,37.7
6.20944,38.9,37.7
6.22611,38.9,37.7
6.24278,38.9,37.7
6.25944,38.9,37.7
6.27611,39,37.7
6.29278,39,37.7
6.30944,39,37.7
6.32611,39,37.7
6.34278,38.9,37.7
6.35944,39,37.7
