device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wellmapId,H10,G10,F10,E10,D10,C10,B10,A10,H9,G9,F9,E9,D9,C9,B9,A9,H4,G4,F4,E4,D4,C4,B4,A4,H3,G3,F3,E3,D3,C3,B3,A3
sennum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
measurement,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value,Raw Value
0.18444,57.1205,53.513000000000005,55.9695,55.189499999999995,55.801,56.8995,56.4415,58.144999999999996,55.9165,55.7495,57.057,57.319,55.183,57.028999999999996,57.304500000000004,58.0115,62.402,55.951499999999996,59.39,56.8345,56.0315,57.382000000000005,57.83,58.192,57.184,57.8895,56.667,56.682,56.0305,57.629000000000005,56.064499999999995,49.512
0.20111,56.9945,53.306,55.733999999999995,54.977999999999994,55.596000000000004,56.697,56.203,57.9765,55.721000000000004,55.661,56.8625,57.1605,55.0145,56.818,57.1455,57.86,62.3795,55.791,59.249,56.735,55.893,57.277,57.730999999999995,58.0715,57.1565,57.769,56.552,56.569500000000005,55.8875,57.480500000000006,55.936,49.295500000000004
0.21778,56.823,53.0995,55.495000000000005,54.7545,55.406000000000006,56.498000000000005,55.944,57.793000000000006,55.4765,55.542500000000004,56.674499999999995,56.995999999999995,54.797,56.6415,56.98,57.762,62.402,55.623,59.1405,56.623000000000005,55.788,57.165000000000006,57.557,57.870999999999995,57.101,57.653999999999996,56.4255,56.4655,55.662499999999994,57.3645,55.766999999999996,49.082
0.23444,56.66,52.8935,55.2615,54.510000000000005,55.2255,56.3245,55.662499999999994,57.596000000000004,55.2635,55.416,56.504999999999995,56.901,54.64,56.461,56.818,57.6335,62.3815,55.5005,58.948,56.4775,55.6195,56.9715,57.423,57.638000000000005,56.9955,57.5445,56.272999999999996,56.326,55.4595,57.1915,55.585499999999996,48.875
0.25111,56.558499999999995,52.744,55.076499999999996,54.326499999999996,55.039,56.1135,55.446,57.4135,55.164,55.342,56.39,56.7535,54.507999999999996,56.311,56.734,57.455,62.396,55.315,58.736000000000004,56.3405,55.443,56.775499999999994,57.2375,57.414,56.8815,57.3985,56.1175,56.1755,55.274,57.0135,55.413,48.626000000000005
0.26778,56.467,52.6085,54.945,54.203,54.922,56.043,55.315,57.303,55.04600000000001,55.283500000000004,56.301,56.6335,54.370000000000005,56.18,56.579499999999996,57.325,62.4015,55.1025,58.5385,56.176500000000004,55.2415,56.6055,57.104,57.2435,56.7255,57.2655,55.938500000000005,56.051500000000004,55.086,56.8555,55.231,48.442
0.28444,56.3485,52.523,54.857,54.119,54.884,55.946,55.216,57.2275,54.916,55.20399999999999,56.196,56.558499999999995,54.253,56.0725,56.5185,57.245999999999995,62.406,54.9,58.328,56.06,55.082,56.452,57.007999999999996,57.104,56.602000000000004,57.1235,55.798,55.961,54.915,56.727000000000004,55.098,48.256
0.30111,56.301,52.457,54.7395,54.034,54.829,55.86450000000001,55.1235,57.184,54.8125,55.1525,56.1325,56.4785,54.1825,55.974999999999994,56.4615,57.173,62.386,54.7375,58.1765,55.949,54.920500000000004,56.3225,56.91,56.9885,56.4805,56.9945,55.6625,55.852000000000004,54.7525,56.6395,55.021,48.148
0.31778,56.254999999999995,52.3725,54.6565,53.9425,54.786,55.765,54.9975,57.142,54.711,55.088499999999996,56.0875,56.426500000000004,54.107,55.908,56.423500000000004,57.107,62.408500000000004,54.5875,58.045,55.8515,54.814499999999995,56.214,56.8565,56.8925,56.397999999999996,56.906,55.571,55.824,54.638,56.582,54.9595,48.025000000000006
0.33444,56.212999999999994,52.3095,54.587999999999994,53.891,54.7065,55.715999999999994,54.914,57.115,54.637,55.048500000000004,56.055,56.396,54.069,55.8525,56.4075,57.0745,62.3895,54.4975,57.9715,55.818,54.726,56.164,56.7825,56.854,56.358,56.871,55.5,55.7475,54.578,56.5025,54.911500000000004,47.91
0.35111,56.171,52.257,54.5185,53.843,54.658,55.664,54.8615,57.07,54.5775,55.0145,56.044,56.3595,54.031,55.8235,56.381,56.994,62.4035,54.468500000000006,57.934,55.778,54.673,56.122,56.795,56.7755,56.33,56.819,55.4405,55.698,54.47,56.4795,54.8565,47.8
0.36778,56.155,52.2205,54.4695,53.802499999999995,54.62,55.611000000000004,54.7815,57.0645,54.522499999999994,55.0125,56.044,56.345,53.995999999999995,55.778999999999996,56.349999999999994,56.957499999999996,62.41,54.47,57.952,55.7855,54.653000000000006,56.1165,56.7735,56.737,56.312,56.8065,55.43,55.678,54.432,56.454,54.855999999999995,47.7025
0.38444,56.161,52.197500000000005,54.4205,53.785,54.593,55.557500000000005,54.684,57.048500000000004,54.5065,54.976,56.0385,56.3475,53.9805,55.744,56.348,56.927,62.4145,54.5275,57.971000000000004,55.841,54.661500000000004,56.087500000000006,56.7545,56.6935,56.3425,56.8405,55.459,55.694,54.3915,56.450500000000005,54.845,47.605999999999995
