device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
4.00111,38.6,37.6
4.01778,38.6,37.6
4.03444,38.5,37.6
4.05111,38.5,37.6
4.06778,38.5,37.6
4.08444,38.5,37.6
4.10111,38.5,37.6
4.11778,38.5,37.6
4.13444,38.5,37.6
4.15111,38.5,37.6
4.16778,38.5,37.6
4.18444,38.5,37.6
4.20111,38.5,37.6
4.21778,38.5,37.6
4.23444,38.5,37.6
4.25111,38.5,37.6
4.26778,38.5,37.6
4.28444,38.5,37.6
4.30111,38.5,37.6
4.31778,38.5,37.6
4.33444,38.5,37.6
4.35111,38.5,37.6
4.36778,38.5,37.6
4.38444,38.5,37.6
4.40111,38.5,37.6
4.41778,38.5,37.6
4.43444,38.5,37.6
4.45111,38.5,37.6
4.46778,38.5,37.6
4.48444,38.5,37.6
4.50111,38.5,37.6
4.51778,38.5,37.6
4.53444,38.5,37.6
4.55111,38.5,37.6
4.56778,38.5,37.6
4.58444,38.5,37.6
4.60111,38.5,37.6
4.61778,38.6,37.6
4.63444,38.6,37.6
4.65111,38.6,37.6
4.66778,38.6,37.6
4.68444,38.6,37.6
4.70111,38.6,37.6
4.71778,38.6,37.6
4.73444,38.6,37.6
4.75111,38.6,37.6
4.76778,38.6,37.6
4.78444,38.6,37.6
4.80111,38.6,37.650000000000006
4.81778,38.6,37.6
4.83444,38.6,37.6
4.85111,38.6,37.6
4.86778,38.6,37.6
4.88444,38.6,37.6
4.90111,38.6,37.6
4.91778,38.6,37.6
4.93444,38.6,37.6
4.95111,38.6,37.6
4.96778,38.7,37.6
4.98444,38.7,37.6
5.00111,38.7,37.650000000000006
5.01778,38.7,37.6
5.03444,38.7,37.6
5.05111,38.7,37.6
5.06778,38.7,37.64
5.08444,38.7,37.6
5.10111,38.7,37.6
5.11778,38.7,37.6
5.13444,38.7,37.6
5.15111,38.7,37.6
5.16778,38.7,37.6
5.18444,38.7,37.6
5.20111,38.7,37.6
5.21778,38.7,37.6
5.23444,38.7,37.6
5.25111,38.7,37.6
5.26778,38.7,37.6
5.28444,38.7,37.6
5.30111,38.7,37.6
5.31778,38.6,37.6
5.33444,38.7,37.6
5.35111,38.7,37.6
5.36778,38.6,37.6
5.38444,38.6,37.6
5.40111,38.7,37.6
5.41778,38.7,37.6
5.43444,38.7,37.6
5.45111,38.7,37.6
5.46778,38.6,37.6
5.48444,38.7,37.6
5.50111,38.7,37.6
5.51778,38.7,37.6
5.53444,38.7,37.6
5.55111,38.7,37.6
5.56778,38.7,37.6
5.58444,38.7,37.6
5.60111,38.7,37.6
5.61778,38.7,37.6
5.63444,38.7,37.6
5.65111,38.7,37.6
5.66778,38.7,37.6
5.68444,38.7,37.6
5.70111,38.7,37.6
5.71778,38.7,37.6
5.73444,38.7,37.6
5.75111,38.7,37.6
5.76778,38.6,37.6
5.78444,38.6,37.6
5.80111,38.6,37.6
5.81778,38.6,37.6
5.83444,38.6,37.6
5.85111,38.6,37.6
5.86778,38.6,37.6
5.88444,38.7,37.6
5.90111,38.7,37.6
5.91778,38.7,37.6
5.93444,38.6,37.6
5.95111,38.6,37.6
5.96778,38.6,37.6
5.98444,38.6,37.6
6.00111,38.6,37.6
6.01778,38.6,37.6
6.03444,38.6,37.6
6.05111,38.7,37.6
6.06778,38.6,37.6
6.08444,38.7,37.6
6.10111,38.7,37.6
6.11778,38.6,37.6
6.13444,38.6,37.6
6.15111,38.6,37.6
6.16778,38.6,37.6
6.18444,38.6,37.6
6.20111,38.6,37.6
6.21778,38.6,37.6
6.23444,38.6,37.6
6.25111,38.7,37.6
6.26778,38.7,37.6
6.28444,38.6,37.6
6.30111,38.7,37.6
6.31778,38.7,37.6
6.33444,38.6,37.6
6.35111,38.7,37.6
6.36778,38.7,37.6
6.38444,38.6,37.6
6.40111,38.6,37.6
6.41778,38.6,37.6
6.43444,38.7,37.642857142857146
6.45111,38.7,37.650000000000006
6.46778,38.7,37.660000000000004
6.48444,38.7,37.65
6.50111,38.7,37.65
6.51778,38.7,37.648148148148145
6.53444,38.7,37.65
6.55111,38.7,37.65
6.56778,38.7,37.650000000000006
6.58444,38.7,37.650000000000006
6.60111,38.7,37.6
6.61778,38.7,37.6
6.63444,38.7,37.6
6.65111,38.7,37.6
6.66778,38.7,37.6
6.68444,38.7,37.60666666666667
6.70111,38.7,37.65
6.71778,38.7,37.65
6.73444,38.7,37.6
6.75111,38.7,37.6
6.76778,38.7,37.6
6.78444,38.7,37.6
6.80111,38.7,37.6
6.81778,38.7,37.6
6.83444,38.7,37.6
6.85111,38.6,37.6
6.86778,38.6,37.6
6.88444,38.7,37.6
6.90111,38.7,37.6
6.91778,38.7,37.6
6.93444,38.7,37.6
6.95111,38.7,37.6
6.96778,38.7,37.6
6.98444,38.7,37.6
7.00111,38.7,37.6
7.01778,38.7,37.61818181818182
7.03444,38.7,37.60344827586207
7.05111,38.7,37.6
7.06778,38.7,37.625
7.08444,38.7,37.6
7.10111,38.7,37.6
7.11778,38.7,37.6
7.13444,38.7,37.650000000000006
7.15111,38.7,37.65263157894737
7.16778,38.7,37.647619047619045
7.18444,38.7,37.625
7.20111,38.7,37.605555555555554
7.21778,38.7,37.61
7.23444,38.7,37.65263157894737
7.25111,38.7,37.65
7.26778,38.7,37.65
7.28444,38.7,37.64848484848485
7.30111,38.7,37.650000000000006
7.31778,38.7,37.6
7.33444,38.7,37.63636363636363
7.35111,38.8,37.65
7.36778,38.8,37.65
7.38444,38.7,37.6
7.40111,38.7,37.650000000000006
7.41778,38.7,37.63333333333333
7.43444,38.8,37.65
7.45111,38.7,37.660000000000004
7.46778,38.7,37.64736842105263
7.48444,38.7,37.65
7.50111,38.7,37.65
7.51778,38.7,37.650000000000006
7.53444,38.7,37.65
7.55111,38.7,37.65
7.56778,38.7,37.650000000000006
7.58444,38.7,37.63333333333333
7.60111,38.7,37.63333333333333
7.61778,38.7,37.6
7.63444,38.7,37.6
7.65111,38.7,37.6
7.66778,38.7,37.6
7.68444,38.7,37.6
7.70111,38.7,37.648
7.71778,38.7,37.63333333333333
7.73444,38.7,37.635294117647064
7.75111,38.7,37.7
7.76778,38.7,37.7
7.78444,38.8,37.7
7.80111,38.8,37.7
7.81778,38.8,37.660000000000004
