Dose,null,null,null,null,null,null,null,null,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14
Media Volume,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,100,100,150,150,150,150,150,150,150,150,150,150,100,100
Beating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Beating Day Occurrence,never,never,never,never,never,never,never,never,never,never,never,never,never,13,12,11,11,never,never,never,never,never,never,never,never,never,never,never,15,never,never
device,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA,2002-NS32-0703-AAIA
plate,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4,3-AAH4
well,H9-CTRL,H4-CTRL,H3-CTRL,H10-CTRL,A9-CTRL,A4-CTRL,A3-CTRL,A10-CTRL,F10,E4,E10,D4,C4,B4,D10,G4,B10,F4,C10,G9,G3,F9,E9,E3,D3,C3,B9,B3,D9,F3,C9
measurement,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux
2021-04-08 15:15:00+00:00,0.217334555,1.354000923,2.177780346,-3.780582586,-1.223237906,0.92750029,-0.060865329,0.129124921,7.650198706,11.47093517,8.467304674,8.969538092,3.762916998,2.757902397,7.229731706,5.229005089,2.731494031,10.82578458,4.081682528,20.06209788,4.350383756,17.20444654,13.29415672,5.478710747,2.357892384,2.723253588,0.681578847,-1.25383858,9.093588093,7.670863936,7.224875641
2021-04-08 15:30:00+00:00,0.223930889,1.362666926,2.204103011,-3.794223202,-1.204431619,0.899665804,-0.04650734,0.134622244,8.048592491,11.80162861,8.880670212,9.279491737,4.194087934,3.001098294,7.685600268,5.624647194,2.827999567,10.8026658,4.1791031,20.29107114,4.793530583,18.02551502,13.96781159,5.89178539,2.605576097,2.866518376,0.866445904,-1.059315223,9.638452141,8.345926997,8.009256948
2021-04-08 15:45:00+00:00,0.268330635,1.322512246,2.239260791,-3.861240306,-1.17462357,0.92241052,0.003364298,0.133537239,6.799039592,10.36223051,7.617879842,7.016365028,2.687781014,1.870568211,6.986782445,5.250767446,4.240280754,9.17578127,2.749776868,18.81803778,3.648441385,17.02694136,12.82017576,4.117295166,0.502695102,0.269653597,-0.137282634,-1.285879192,8.468346583,6.466744611,7.119809647
2021-04-08 16:00:00+00:00,0.278560278,1.299741027,2.209114537,-3.837206937,-1.178971585,1.044725128,0.020407605,0.124520684,8.257324873,11.2555156,8.505253816,8.430299146,4.314590155,2.752476127,7.914267921,6.48250409,5.154915295,9.210360211,3.795335601,20.00962777,4.477380928,18.6224177,14.43258019,6.435104361,2.438614042,1.848315331,0.929493793,-0.369577163,9.736625866,8.538650283,8.765811728
