,CHIR,control,seed,cTnT,expID,wellNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
0,14,0,25,,10,H10,1.1978620784647804,1.0388397674740686,54.0,106.0,1.379279365222119,-8.132815703694614e-06,0.1408199643493761,206.0,0.05555555555555555,0.0,10.23944244130657,40.0,0.5357142857142857,-0.4679715302491103,0.5124555160142348,0.9981902608100861,111.0,1.177469927459524,0.5652173913043478,0.43478260869565216,0.01840776945462891,0.049549763960232106
1,13,0,25,,10,G10,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,
2,12,0,25,,10,F10,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,
3,11,0,25,,10,E10,0.8823745948673949,1.0455105434889436,99.0,275.0,1.3922568472396943,1.117873671111253e-07,0.0,301.0,0.1111111111111111,0.0,31.187646026278703,40.0,1.2039473684210527,-0.25978647686832745,0.8113879003558719,0.9936835083172224,348.0,1.1430121884802706,0.1956521739130435,0.8043478260869565,0.012271846303085938,0.02091849272616189
4,10,0,25,,10,D10,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,
5,9,0,25,,10,C10,0.7075207242386938,0.9024409577893537,70.0,260.0,1.2220206752746032,4.681942995728597e-06,0.0,324.0,0.0625,0.0,17.210089070415883,40.0,1.5867768595041323,-0.12811387900355875,-0.8603202846975089,0.9891728876216381,326.0,1.1430121884802706,0.1956521739130435,0.782608695652174,0.012271846303085938,0.02935260282819216
6,8,0,25,,10,B10,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,
7,7,0,25,,10,A10,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,
8,14,0,25,,10,H9,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,
9,13,0,25,,10,G9,0.9389068523329049,1.0903320991420107,91.0,257.0,1.3962303122510962,3.331813400328674e-07,0.0,309.0,0.0625,0.0,26.348815260495922,40.0,1.326086956521739,-0.17615658362989328,0.7384341637010676,0.9936289774087106,308.0,1.1430121884802706,0.1956521739130435,0.8043478260869565,0.012271846303085938,0.022948691506918185
