,CHIR,control,seed,cTnT,expID,wellNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
0,14,0,25,,10,H10,0.004620834065979906,-1.0737438801356394,1.0,1.0,0.0613738757270287,-14.110966624018676,0.9857397504456328,4.0,0.06090685612547834,5.0,0.021455445135454096,1.0,1.0,-0.11032028469750887,-0.2295373665480427,0.02401399260670169,4.0,1.6710434405256882,0.8478260869565217,0.8695652173913043,2.325514874434785,1.1478296607062135
1,13,0,25,,10,G10,-0.3991312743945943,0.4371797203991523,4.0,1.0,0.0951393427836279,-8.18525373708293,0.9875222816399287,96.0,0.007958371594735232,120.0,0.020379126238415115,15.0,0.058823529411764705,-0.11387900355871883,-0.32028469750889677,0.5608787329626556,4.0,1.7580847357286462,0.5434782608695652,0.8260869565217391,0.34361169648640627,0.8632103429086972
2,12,0,25,,10,F10,-0.4514410258947308,0.22390409514244602,13.0,1.0,0.20374889974252114,-4.757440532116886,0.9857397504456328,118.0,0.0205761316872428,160.0,0.030242381598874307,28.0,0.03333333333333333,-0.11743772241992878,-0.3042704626334519,0.7145520810065173,4.0,1.7368983102477173,0.8478260869565217,0.8695652173913043,0.0981747704246875,0.7052673800464079
3,11,0,25,,10,E10,-0.4455915046370871,0.4507487830985468,4.0,1.0,0.09007012029322585,-9.93819885474692,0.9964349376114082,121.0,0.02580959337716095,120.0,0.01494710033033869,14.0,0.06666666666666667,-0.11387900355871883,-0.3220640569395018,0.5446338469457268,3.0,1.6613174281508103,0.5434782608695652,0.8478260869565217,0.398835004850293,0.8807817730287274
4,10,0,25,,10,D10,-0.5496702892726937,0.1783717424748863,7.0,23.0,0.1229231423897771,-6.022249468290159,0.9857397504456328,120.0,0.009116131589377727,122.0,0.02075343910307912,18.0,0.05263157894736842,-0.11387900355871883,-0.3149466192170819,0.6785037843810757,3.0,1.7543551097118364,0.5434782608695652,0.8695652173913043,0.18407769454628906,0.7611753635881153
5,9,0,25,,10,C10,-0.5651177902347064,0.19252182851759336,8.0,39.0,0.12697202592851678,-6.5683500779864685,0.982174688057041,121.0,0.037037037037037035,122.0,0.02393557562529405,29.0,0.03225806451612903,-0.11565836298932386,-0.3167259786476868,0.6766058340702349,3.0,1.8205924151938273,0.6304347826086957,0.8695652173913043,0.16566992509166015,0.7608681174947719
6,8,0,25,,10,B10,-0.20969640433621706,0.7668623710240929,1.0,1.0,0.06533580296794315,-12.72784255328275,0.9893048128342246,10.0,0.06289274203712707,7.0,0.023000402366172013,1.0,1.0,-0.3362989323843416,-0.11032028469750887,0.08223837377590214,9.0,1.657808628222318,0.7608695652173914,0.8695652173913043,2.178252718797754,1.1472113633699073
7,7,0,25,,10,A10,-0.6502688524477085,0.1572748331705629,4.0,1.0,0.09597984458060185,-8.66020749996437,0.964349376114082,74.0,0.012549739822467095,63.0,0.023057635454297704,16.0,0.058823529411764705,-0.11743772241992878,-0.32028469750889677,0.5461909424148168,7.0,1.9470990555861594,0.5434782608695652,0.8260869565217391,0.4295146206080078,0.8913219195133867
8,14,0,25,,10,H9,0.038006949875103224,-0.9814415157013334,1.0,1.0,0.03595279988724011,-15.381544719241429,0.9696969696969697,9.0,0.03367321108749231,5.0,0.022759490281512723,1.0,1.0,-0.10676156583629892,-0.11565836298932386,0.027715471785249798,7.0,1.9046151056032496,0.717391304347826,0.13043478260869565,2.2457478734647265,1.1719790534808774
9,13,0,25,,10,G9,-0.3019772212017875,0.4463535122504805,6.0,1.0,0.13160143050155243,-5.612572670753724,0.9910873440285205,121.0,0.006121824303642486,122.0,0.019779743804624748,16.0,0.058823529411764705,-0.11209964412811385,-0.32028469750889677,0.6278710146100316,15.0,1.7815220529808422,0.5434782608695652,0.8695652173913043,0.23930100291017578,0.8074984016419112
