,CHIR,control,seed,cTnT,expID,wellNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
0,0,1,,0,8,H10,-0.440662495,0.255395348,4,11,0.175876251,2.209451976,0.579787234,15,0.006302083,22,0.038921156,5,0.142857143,0.336283186,0.348672566,0.698367141,11,2.167727855,0.282608696,0.130434783,0.306796158,0.81648559
1,5,0,,0.461402149,8,G10,-0.006647243,-0.577849184,6,15,0.178576322,-0.223134663,0.946808511,16,0.019664116,184,0.099961824,8,0.1,-0.299115044,-0.246017699,0.890034228,17,1.781012135,0.391304348,0.130434783,0.190213618,0.558920459
2,5,0,,0.195135581,8,F10,-0.921634127,-0.545690528,15,33,0.389624616,-0.002570931,0.423758865,35,0.010582011,185,0.331941602,24,0.038461538,-0.276106195,0.060176991,0.985083136,28,1.868659675,0.608695652,0.347826087,0.067495155,0.25058132
3,5,0,,0.126083119,8,E10,-0.783958046,-0.465213679,21,49,0.333966104,-0.008619767,0.218085106,49,0.033854167,185,0.40720936,34,0.371428571,-0.256637168,0.084955752,0.989233596,40,1.842842826,0.782608696,0.869565217,0.049087385,0.206181357
4,5,0,,0.016700834,8,D10,-0.297778438,0.237813252,9,19,0.138542395,-0.55421416,0.932624113,23,0.003165327,184,0.104351822,14,0.066666667,-0.292035398,-0.230088496,0.906245616,18,1.822126479,0.630434783,0.869565217,0.128854386,0.497739974
5,5,0,,0.157329249,8,C10,-0.842969316,-0.52122111,20,47,0.660385833,-0.005424962,0.187943262,48,0.014322917,0,0.472573296,33,0.382352941,-0.254867257,0.083185841,0.991417453,38,1.870043751,0.717391304,0.869565217,0.049087385,0.194871968
6,5,0,,0.220667584,8,B10,-0.004874902,-0.529093022,9,19,0.148007661,-0.140827885,0.893617021,24,0.029659864,161,0.13413819,14,0.0625,-0.292035398,-0.069026549,0.934824019,19,1.787688841,0.630434783,0.869565217,0.122718463,0.450366484
7,5,0,,0.425127631,8,A10,-0.046049587,0.732038386,1,1,0.097261383,1.682806933,0.996453901,5,0.053668285,7,0.024200296,1,1,-0.313274336,-0.323893805,0.133255412,5,1.74276886,0.130434783,0.826086957,1.896000254,1.14397146
8,12,0,,0.00165005,8,H9,-0.1436001,0.741950472,1,3,0.063325753,-4.862692502,0.976950355,8,0.027742347,3,0.025593399,2,0.2,-0.315044248,0.316814159,0.35113524,6,1.737785765,0.5,0.130434783,0.963339935,1.087954545
9,12,0,,0.000913176,8,G9,0.29312817,-0.048630883,19,43,0.265387483,-0.044713946,0.526595745,44,0.021914648,185,0.262632585,31,0.03125,-0.263716814,0.090265487,0.97852654,32,1.958888195,0.717391304,0.869565217,0.055223308,0.251936363
10,12,0,,0.000348921,8,F9,1.000481651,0.338657378,4,9,0.181435425,-0.399126858,0.987588652,8,0.033386148,17,0.041373437,4,0.166666667,-0.307964602,-0.277876106,0.68265582,12,1.761878929,0.282608696,0.826086957,0.368155389,0.826450226
11,12,0,,0.000326466,8,E9,-0.428289947,0.144687194,7,15,0.161575322,-0.051559114,0.964539007,20,0.036055526,185,0.085917301,12,0.076923077,-0.297345133,-0.139823009,0.871639694,17,1.678702923,0.5,0.130434783,0.153398079,0.557668959
12,12,0,,0.000193319,8,D9,0.054734814,-0.441775359,10,21,0.159228904,-0.078573789,0.932624113,26,0.04578564,185,0.139855757,16,0.055555556,-0.288495575,-0.146902655,0.935263966,20,1.71599581,0.630434783,0.869565217,0.110446617,0.432112021
