,CHIR,control,seed,cTnT,expID,wellNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
0,14,0,25,,10,H10,-0.1684131400397202,0.07576244502929996,19.0,91.0,0.9695323658685102,-0.0006920119963657402,0.45989304812834225,89.0,0.005509641873278238,183.0,1.514895077156111,40.0,0.1702127659574468,-0.7313167259786477,-0.31316725978647686,0.9961395258920747,107.0,1.2875326591634444,0.21739130434782608,0.8260869565217391,0.042951462060800784,0.2041329602771127
1,13,0,25,,10,G10,-0.9483406117836027,-0.7765005531517601,52.0,113.0,1.2405860744214785,-5.46463045290196e-05,0.19073083778966132,163.0,0.047619047619047616,0.0,4.848071867185481,40.0,0.5897435897435898,-0.016903914590747304,0.5409252669039146,0.9972311472908413,103.0,1.2081386079768166,0.15217391304347827,0.8043478260869565,0.024543692606171875,0.07070311865657347
2,12,0,25,,10,F10,0.06461121510527867,0.23222083231827273,35.0,100.0,1.307597192685337,-0.0002943997986182487,0.10695187165775401,130.0,0.005509641873278238,181.0,3.1756060451371364,40.0,0.7058823529411765,-0.45729537366548045,-0.12099644128113884,0.9973725634313348,69.0,1.192828593179853,0.8478260869565217,0.5869565217391305,0.030679615757714843,0.08613294934539467
3,11,0,25,,10,E10,-0.0218635180232285,0.5448011696395421,37.0,136.0,1.2196506981820752,-0.0010266186169863257,0.2014260249554367,112.0,0.036458333333333336,0.0,1.6307864948506854,40.0,0.11764705882352941,0.8238434163701067,-0.19395017793594305,0.995775419010413,90.0,1.2495333344803634,0.15217391304347827,0.6086956521739131,0.024543692606171875,0.1365745029525173
4,10,0,25,,10,D10,0.8407689034448806,0.9809848115296642,121.0,322.0,1.380567294575596,-4.038238678327649e-07,0.0,332.0,0.1111111111111111,0.0,39.62776592185448,40.0,0.8379888268156425,-0.4288256227758007,0.7277580071174377,0.9956399169664393,374.0,1.1319194011876408,0.1956521739130435,0.8043478260869565,0.006135923151542969,0.012485459787040748
5,9,0,25,,10,C10,-0.15222033814558056,-0.3381448711484788,46.0,112.0,1.1547192726441566,-3.6240459783162856e-05,0.1265597147950089,153.0,0.005208333333333334,0.0,8.566211083421717,40.0,0.7121212121212122,-0.6174377224199288,-0.2241992882562278,0.9978773363153259,97.0,1.199873109283533,0.4782608695652174,0.8478260869565217,0.024543692606171875,0.05934668152551313
6,8,0,25,,10,B10,-0.5364851189927154,-0.37420715595271953,34.0,68.0,1.267822307927665,-0.0002705149620931743,0.29411764705882354,136.0,0.0625,0.0,2.942270382369135,40.0,0.21052631578947367,-0.08985765124555162,0.6672597864768683,0.9950015764634863,288.0,1.2081581428096348,0.5652173913043478,0.45652173913043476,0.024543692606171875,0.09715126417833851
7,7,0,25,,10,A10,1.2291616655764948,1.4155556368009943,74.0,275.0,1.3887820320554094,3.9007186890276075e-06,0.0,275.0,0.0625,0.0,16.546374921511763,40.0,1.1111111111111112,-0.3389679715302491,0.5355871886120998,0.9925550676177313,392.0,1.1430121884802706,0.15217391304347827,0.717391304347826,0.012271846303085938,0.028776425975784337
8,14,0,25,,10,H9,-0.4853297378440391,-0.06174355059643538,32.0,94.0,1.2838910242353332,-0.0004412272060302377,0.12299465240641712,120.0,0.005509641873278238,168.0,2.691270000168139,40.0,0.3877551020408163,0.29982206405693945,0.3701067615658362,0.9957288668004234,67.0,1.192828593179853,0.2826086956521739,0.6956521739130435,0.03681553890925782,0.09614472341946423
9,13,0,25,,10,G9,1.2037295270023989,1.3705774596880704,40.0,106.0,1.2723853078719245,-2.5732768710395323e-05,0.18538324420677363,115.0,0.012345679012345678,0.0,5.5620556158454795,40.0,0.3548387096774194,0.25444839857651247,0.3362989323843417,0.9958734330224961,79.0,1.2075524421436976,0.6739130434782609,0.5652173913043478,0.030679615757714843,0.07765909570860585
